,,min_Predicted_TOTAL,avg_Predicted_TOTAL,max_Predicted_TOTAL,min_GEOTHERMAL,avg_GEOTHERMAL,max_GEOTHERMAL,min_total_renewable,avg_total_renewable,max_total_renewable,min_WIND TOTAL,avg_WIND TOTAL,max_WIND TOTAL,min_SMALL HYDRO,avg_SMALL HYDRO,max_SMALL HYDRO,min_BIOMASS,avg_BIOMASS,max_BIOMASS
5,2017,36.54835,2160.4191046922047,4885.1885,753.0,935.9247311827957,978.0,1690.0,5570.430107526881,11711.0,23.0,2161.8494623655915,4914.0,388.0,538.9233870967741,655.0,169.0,231.39112903225808,267.0
6,2010,62.96797,1118.8135931666668,1884.2885,866.0,1044.1180555555557,1080.0,1810.0,2147.983333333333,2482.0,40.0,1118.611111111111,1896.0,349.0,412.33194444444445,444.0,241.0,342.18333333333334,424.0
6,2012,68.24399,1783.115334458333,3270.9473,875.0,916.0652777777777,933.0,1767.0,2197.858333333333,2807.0,57.0,1786.3166666666666,3287.0,357.0,427.0361111111111,533.0,244.0,312.6902777777778,368.0
6,2013,126.1262,2253.826751597222,4215.3296,673.0,856.6319444444445,918.0,1559.0,2518.5416666666665,4031.0,114.0,2251.8611111111113,4215.0,283.0,367.37361111111113,532.0,265.0,334.3722222222222,372.0
6,2014,70.47299,2581.5196950694444,4362.1294,823.0,875.4486111111111,900.0,1531.0,3451.175,6435.0,75.0,2573.9305555555557,4355.0,161.0,247.39583333333334,376.0,279.0,338.28055555555557,377.0
6,2015,91.90297,2244.705789277778,4427.5654,864.0,987.1333333333333,1050.0,1480.0,3889.436111111111,7929.0,174.0,2253.5472222222224,4470.0,88.0,187.39305555555555,378.0,234.0,295.08194444444445,334.0
6,2016,57.53937,2325.79151005,4496.114,860.0,942.2416666666667,1005.0,1627.0,4737.8180555555555,9672.0,56.0,2325.4180555555554,4537.0,311.0,442.0444444444444,591.0,165.0,214.55555555555554,245.0
6,2017,67.57394,2547.0891919833334,4735.815,835.0,980.1902777777777,1046.0,1799.0,5999.038888888889,11832.0,62.0,2543.5416666666665,4759.0,334.0,536.0055555555556,678.0,172.0,246.5875,264.0
7,2012,1.0646665,1227.6233494771504,3110.8599,0.0,877.1344086021505,922.0,0.0,2131.0685483870966,2909.0,0.0,1234.6733870967741,3280.0,0.0,389.77284946236557,471.0,0.0,327.93413978494624,386.0
7,2013,88.668564,1856.554522814516,3817.3196,834.0,884.4798387096774,915.0,1618.0,2515.5913978494623,4155.0,77.0,1854.7486559139784,3855.0,211.0,334.6653225806452,498.0,309.0,390.19220430107526,415.0
7,2014,152.26436,1907.0291831048387,3877.397,819.0,879.1935483870968,894.0,1500.0,3248.4932795698924,6447.0,107.0,1904.4475806451612,3943.0,127.0,234.44220430107526,403.0,256.0,336.58870967741933,376.0
7,2015,127.456795,1934.9683837970429,4142.1934,879.0,1008.1760752688172,1043.0,1540.0,3887.7150537634407,7966.0,84.0,1930.2002688172042,4153.0,75.0,161.0241935483871,362.0,226.0,306.39112903225805,338.0
7,2016,170.51332,2327.438226397849,4211.6226,871.0,941.4233870967741,979.0,1580.0,4906.200268817204,9812.0,134.0,2335.9744623655915,4266.0,260.0,361.59274193548384,525.0,163.0,241.6021505376344,281.0
7,2017,188.90428,2118.4573663037636,4072.9253,875.0,963.6034946236559,1037.0,1684.0,5532.782258064516,11615.0,191.0,2121.72311827957,4189.0,349.0,491.5,663.0,160.0,232.24059139784947,264.0
8,2011,66.02673,1155.9375561908603,2380.0374,871.0,973.513440860215,1009.0,1825.0,2201.380376344086,2595.0,48.0,1160.2930107526881,2389.0,420.0,497.8763440860215,576.0,247.0,372.75940860215053,442.0
8,2012,23.00815,1225.64700222043,2991.0215,849.0,904.6129032258065,947.0,1679.0,2144.7809139784945,2901.0,21.0,1224.981182795699,3055.0,250.0,357.98655913978496,446.0,279.0,339.1505376344086,385.0
8,2013,61.36963,1686.2683829569892,3934.9426,802.0,859.4112903225806,922.0,1570.0,2557.7217741935483,4388.0,53.0,1673.6263440860216,3996.0,184.0,306.5698924731183,457.0,280.0,371.8709677419355,416.0
8,2014,105.44525,1702.0792127284947,4017.1614,828.0,878.3225806451613,903.0,1491.0,3231.194892473118,6489.0,84.0,1708.399193548387,4035.0,105.0,211.67607526881721,366.0,272.0,332.47715053763443,381.0
8,2015,181.66238,2014.777001236559,4456.769,799.0,989.2862903225806,1044.0,1456.0,3927.364247311828,8166.0,176.0,2022.603494623656,4508.0,73.0,177.79032258064515,366.0,240.0,299.1774193548387,334.0
8,2016,173.0015,2043.588684032258,4197.509,790.0,950.4354838709677,986.0,1495.0,4736.896505376344,10067.0,180.0,2034.885752688172,4249.0,181.0,304.4502688172043,514.0,225.0,264.116935483871,286.0
8,2017,60.851448,1853.5852803266127,4396.5493,866.0,1019.7298387096774,1215.0,1668.0,5404.643817204301,11786.0,56.0,1855.6612903225807,4543.0,291.0,453.06854838709677,631.0,194.0,277.9018817204301,395.0
9,2012,23.129786,898.3150766861111,2372.0874,864.0,902.3013888888889,915.0,1599.0,2082.5625,2856.0,12.0,891.1652777777778,2410.0,202.0,292.37916666666666,382.0,271.0,344.9611111111111,383.0
9,2013,3.1956482,1561.617012783611,3764.3835,802.0,827.8444444444444,849.0,1509.0,2529.2833333333333,4478.0,9.0,1572.4708333333333,3774.0,160.0,262.325,399.0,308.0,364.62361111111113,416.0
9,2014,83.89367,1335.642256451389,3578.6816,720.0,872.2486111111111,890.0,1420.0,3147.6194444444445,6454.0,85.0,1327.7611111111112,3633.0,84.0,187.4736111111111,386.0,258.0,329.5152777777778,375.0
9,2015,124.458824,1213.699294547222,3366.0679,824.0,1032.0152777777778,1125.0,1397.0,3688.491666666667,8131.0,134.0,1207.0805555555555,3370.0,61.0,149.10972222222222,305.0,191.0,282.57916666666665,336.0
